"Time","Homes Foreclosed Alameda California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Alpine California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Amador California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Butte California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Calaveras California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Colusa California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Contra Costa California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Del Norte California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed El Dorado California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Fresno California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Glenn California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Humboldt California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Imperial California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Inyo California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Kern California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Kings California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Lake California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Lassen California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Los Angeles California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Madera California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Marin California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Mariposa California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Mendocino California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Merced California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Modoc California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Mono California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Monterey California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Napa California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Nevada California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Orange California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Placer California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Plumas California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Riverside California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Sacramento California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Benito California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Bernardino California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Diego California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Francisco California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Joaquin California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Luis Obispo California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed San Mateo California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Santa Barbara California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Santa Clara California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Santa Cruz California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Shasta California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Sierra California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Siskiyou California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Solano California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Sonoma California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Stanislaus California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Sutter California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Tehama California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Trinity California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Tulare California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Tuolumne California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Ventura California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Yolo California  - Homes Foreclosed
  - #/10,000 Homes","Homes Foreclosed Yuba California  - Homes Foreclosed
  - #/10,000 Homes"
"201708","0.39","","2.53","0.59","1.71","","0.83","","0.66","2.18","2.18","0.6899999999999999","1.71","","3.31","3.03","","","1.01","1.93","0.46","","1.68","","","1.1","1.3","0.43","0.37","0.65","0.73","1.9","1.96","0.96","1.37","2.22","0.79","0.22","1.26","0.57","0.2","1.1","0.34","0.13","2.47","","1.54","1.23","0.58","1.11","2.03","2.72","","2.29","2.68","0.97","0.47","3.12"
"201707","0.45","","0.9399999999999999","0.78","0.97","4.13","0.74","2","0.83","1.98","1.45","0.64","2.59","","3.57","2.53","5.46","4.13","1.04","2.56","0.65","","1.55","","","0.97","1.44","0.75","0.65","0.72","1.02","3.5","1.99","0.92","0.55","2.62","0.76","0.32","1.56","0.89","0.23","1.05","0.33","0.34","3.02","","2.35","1.22","0.62","1.24","2.71","2.21","3.64","2.2","2.31","1","0.5","3.86"
"201706","0.44","35.81","1.77","0.78","","5.37","0.86","2.35","0.6","1.87","1.56","0.59","2.61","","3.06","2.76","1.28","2.08","1.01","2.94","0.55","","0.31","","","0.5600000000000001","1.22","0.64","0.47","0.57","0.8100000000000001","2.63","1.83","0.96","1.01","2.5","0.83","0.31","1.74","0.7","0.22","0.97","0.35","0.45","2.32","","3.08","1.15","0.6","1.46","3.2","2.58","5.2","2.42","2.86","1.07","0.26","5.42"
"201705","0.57","33.78","1.91","1.23","1.06","4.48","0.8","1.99","0.72","1.95","2.93","0.91","2.9","","3.24","3.3","1.37","","0.9399999999999999","2.55","0.53","1.17","0.73","0.87","8.609999999999999","","0.89","0.96","0.47","0.5600000000000001","0.8","2.37","1.5","1.13","0.99","2.05","0.79","0.44","2","0.36","0.17","1.3","0.31","0.45","1.91","","4.64","1.05","0.33","1.55","2.6","1.59","","2.28","4.02","1.06","0.27","5.04"
"201704","0.78","58.78","2.01","0.96","2.17","","1.06","3","0.93","1.95","2.9","0.58","4.03","1.76","3.21","4.05","2.44","","1.02","2.72","0.63","1.63","0.97","1.4","","","1.35","1.26","0.9","0.5600000000000001","0.82","2.39","1.76","1.29","","2.15","0.87","0.59","2.01","0.68","0.23","1.22","0.35","0.37","2.72","11.79","4.1","1.6","0.45","2.1","2.4","2.39","","2.69","2.97","1.1","0.32","3.33"
"201703","0.93","38.76","2.7","0.73","2.37","","1.27","4.12","1.32","2.32","1.23","1.12","4.37","","4.22","4.29","4.42","1.52","1.33","2.44","0.8","3.56","1.2","1.18","7.1","1.32","1.65","0.86","1.42","0.68","0.96","4.02","2.2","1.56","0.43","2.46","1.03","0.89","1.78","0.93","0.29","1.75","0.48","0.53","2.96","","4.31","2.23","0.58","2.27","1.77","3.51","","2.59","2.84","1.23","0.5","2.75"
"201702","0.96","","1.74","1.05","1.33","","1.32","2.27","1.12","2.11","2.93","2.18","2.58","2.28","3.58","3.61","3.21","2.94","1.31","2.39","0.97","4.06","0.9399999999999999","1.06","12.71","2.39","1.14","0.73","1.75","0.73","1.18","5.04","2.51","1.24","","2.49","0.97","0.77","2.27","0.9","0.45","1.27","0.51","0.65","2.63","","4.62","2.43","0.62","2.06","1.28","2.82","","2.46","2.02","1.13","0.25","2.37"
"201701","1.06","","1.82","1.2","2.3","2.19","1.07","2.67","1.32","2.02","3.59","1.88","2.84","3.85","3.24","2.36","2.49","2.83","1.17","2.51","0.38","3.51","0.5600000000000001","1.64","10.62","1.17","1.23","0.8","1.24","0.64","1.22","6.13","2.2","1","","2.18","0.92","0.29","2.46","0.73","0.43","1.22","0.47","0.61","3.18","","3.12","2.05","0.5600000000000001","1.71","2.15","3.28","","1.92","2.53","1.01","0.24","2.85"
"201612","0.62","","0.8100000000000001","1.08","3.16","1.26","0.75","1.55","1.31","1.66","4.08","1.76","2.26","3.68","2.32","2.6","2.91","","0.85","2.53","","2","0.32","2.01","11.5","1.66","0.9","0.6899999999999999","0.74","0.47","1.31","2.67","1.55","0.25","0.72","1.55","0.65","0.21","2.34","0.43","0.36","0.53","0.37","0.62","1.66","","4.14","1.3","0.48","1.6","1.86","2.26","","1.46","2.65","0.88","0.49","1.33"
"201611","0.4","10.54","0.9","0.1","1.33","2.13","0.65","1.04","1.01","1.52","2.38","1.04","1.87","3.54","2.36","1.74","4.08","","0.76","1.53","","0.78","","0.95","11.4","","0.71","0.86","0.76","0.42","1.16","2.23","1.42","0.05","1.16","1.47","0.74","0.08","1.01","0.25","0.17","0.63","0.33","0.22","1.62","","2.02","0.82","0.4","1.24","2.03","2.62","","1.5","1.87","0.66","0.48","0.92"
"201610","0.36","18.8","1.57","","1.12","1.2","0.64","1.84","1.23","1.55","2.31","0.84","1.5","5.06","2.43","1.3","3.73","","0.76","1","0.14","","","0.8100000000000001","4.6","","0.93","0.99","1","0.53","0.97","1.58","1.3","0.23","0.59","1.56","0.6899999999999999","0.06","1.14","0.25","0.24","0.72","0.35","0.22","1.84","","2.01","1.09","0.35","1.2","0.33","2.3","","1.73","2.16","0.65","0.18","0.64"
"201609","0.38","13.77","1.14","","0.92","","0.6899999999999999","1.22","0.8","1.91","1.82","1.58","1.76","","2.26","2.1","3.25","","0.82","1.46","","","","1.2","7.76","","0.68","0.59","1.13","0.52","0.8100000000000001","1.6","1.36","0.74","0.5600000000000001","1.65","0.77","0.1","1.03","0.3","0.36","0.84","0.33","0.2","2.2","","2.89","1.07","0.34","1.1","0.68","3.03","","1.9","1.74","0.83","","1.03"
"201608","0.46","","1.33","","0.83","","0.62","1.39","0.75","2.01","3.58","1.5","1.99","","2.24","2.3","1.95","","0.8","1.85","0.16","0.88","","1.49","4.36","","1.06","0.75","0.95","0.5","0.89","1.82","1.57","1.5","1.02","1.68","0.72","0.08","1.21","0.31","0.37","0.9","0.35","0.2","1.62","","3.82","1.29","0.43","1.15","1.27","2.35","2.84","2.41","2.08","0.61","","2.07"
"201607","0.53","","1.48","0.21","1.56","1.54","0.85","1.98","0.78","2.25","2.73","1.3","1.73","1.99","2.53","2.41","2.28","","0.99","2.08","0.24","","","1.52","","","1.42","0.95","1.33","0.57","0.89","1.5","2","1.93","1.12","2.28","0.73","0.07000000000000001","1.48","0.29","0.24","0.83","0.4","0.36","2.13","","5","1.5","0.6","1.65","2","4.1","2.56","2.84","2","0.86","0.2","2.1"
"201606","0.65","","0.8","0.89","1.67","1.59","1.18","2.77","1.14","2.82","2.96","2.03","1.81","","3.47","3.54","2.9","","1.29","3.61","0.49","1.36","0.97","1.57","13.34","","1.57","0.75","1.79","0.68","1.12","","2.34","2.1","0.64","3.03","1.1","0.18","2.49","0.66","0.15","1.13","0.48","0.5600000000000001","3.09","","6.14","2.06","0.74","2.16","2.95","5.19","5.56","2.97","1.5","1.04","0.63","2.3"
"201605","1.01","9.050000000000001","1.06","1.97","2.88","3.73","1.51","3.09","1.72","3.86","2.66","2.61","3.37","1.78","4.66","3.41","2.4","3.64","1.72","5.61","0.58","2.35","2.08","2.51","20.32","0.5600000000000001","1.78","1.03","2.41","0.96","1.49","2.44","2.92","2.87","1.28","2.87","1.4","0.31","3.32","0.91","0.22","1.3","0.58","0.82","4.79","","6.48","2.77","1.13","2.7","2.28","3.99","5.69","3.05","2.01","1.51","1.08","3.26"
"201604","1.26","15.56","2.06","2.7","4.85","4.37","1.71","3.48","2.2","3.75","5.28","3.01","5.31","3.01","4.64","4.34","4.64","7.57","1.83","5.91","0.52","4.37","2.52","3.21","4.31","0.96","2.66","1.29","1.99","1.1","1.77","4.02","2.92","3.17","0.87","3.33","1.34","0.52","3.7","1.2","0.41","1.14","0.65","0.58","4.41","8.76","5.14","2.68","1.2","2.73","2.59","5.51","7.33","3.72","2.68","1.47","1.45","4.56"
"201603","1.31","9.67","4.07","2.88","5.51","3.25","1.79","5.1","2.32","3.22","4.55","3.24","5.34","1.73","4.56","4.3","6.62","9.24","1.9","5.36","0.72","4","2.98","3.26","7.39","0.89","2.84","1.23","2.05","1.15","1.37","2.57","3.15","3.02","1.87","3.42","1.35","0.83","3.28","1.2","0.51","1.37","0.63","0.87","4.45","","4.9","3","1.34","2.6","3.87","8.359999999999999","6.49","3.78","2.92","1.62","1.27","4.71"
"201602","1.42","","4.15","3.65","5.03","1.73","1.8","5.97","2.31","3.29","3.02","3.29","3.13","","4.46","5.43","5.47","8.109999999999999","1.95","4.7","0.88","3","3.69","3.38","6.04","1.1","2.44","1.66","1.74","1.18","1.23","2.45","3.34","3.06","1.7","3.46","1.43","1.03","3.3","1.08","0.58","1.56","0.61","0.92","4.49","8.9","3.44","2.95","1.4","2.59","3.63","10.38","8.81","4.04","2.42","1.62","1.95","4.08"
"201601","1.2","","3.69","3.43","4.02","3.75","1.67","4.16","2.79","3.23","2.18","2.74","3.03","","4.49","6.72","3.29","11.62","2.13","5.16","0.92","4.14","3.6","2.71","4.91","2.23","2.49","0.72","2.2","1.19","1.91","4.88","3.49","3.27","2.65","3.67","1.59","0.8","3.72","1.43","0.6","1.47","0.8","1.34","4.94","","5.12","2.55","1.23","2.64","4.4","7.38","4.97","4.16","2.99","1.66","2.73","4.69"
"201512","1.26","13.24","4.72","3.43","3.38","4.06","1.62","3.13","2.67","3.74","3.74","2.47","2.71","","4.61","7.47","3","12.76","2.06","5.85","1.03","3.54","2.41","3.55","9.77","2.4","2.32","0.97","1.58","1.16","2.17","4.9","3.4","3.39","1.33","3.7","1.82","0.6","4.26","1.48","0.58","1.52","0.88","2.05","5.88","16.62","6.05","2.94","1.69","2.96","5.08","7.29","4.19","4.53","4.66","1.64","3.28","6.15"
