County	Sector	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	Total Usage
ALAMEDA	Residential	200.672533	193.358706	191.247913	238.27762	232.297871	245.329593	238.481921	235.773688	239.062003	234.158	232.049202	228.914041	237.954668	234.607162	239.323177	225.870843	268.786307	300.28975	272.586252	244.883993	244.55178	245.521008	241.23536	263.44667	242.379658	277.623647	271.287576	6519.970942
AMADOR	Residential	1.921942	1.88581	1.796621	2.174944	2.153382	2.388172	2.223296	2.241431	2.213983	2.205817	2.185952	2.156418	2.241583	2.210048	2.254474	2.127751	2.045476	2.154313	1.997039	1.839774	1.734252	1.74183	1.714945	1.827246	1.628623	1.755432	1.61598	54.436534
BUTTE	Residential	25.329649	23.905526	24.205261	28.889117	28.607551	30.85991	29.561971	29.093374	29.351332	28.990591	28.729505	28.341348	29.460648	29.046201	29.63008	27.964576	31.43734	33.827864	31.254801	28.681872	28.423685	28.187193	30.122988	30.739004	27.502154	29.048088	28.180464	779.372093
CALAVERAS	Residential	0.391493	0.436864	0.356257	0.498456	0.464472	0.499225	0.434317	0.479464	0.52974	0.477636	0.473334	0.466939	0.48538	0.478552	0.488172	0.460732	0.522688	0.567245	0.514449	0.461655	0.460462	0.462612	0.514	0.504996	0.459223	0.452244	0.417324	12.757931
COLUSA	Residential	2.008519	1.907604	1.87758	2.268122	2.250606	2.448566	2.391259	2.322075	2.309928	2.294921	2.274253	2.243526	2.332131	2.299323	2.345543	2.2137	2.350623	2.573562	2.379988	2.186423	2.188627	2.192911	2.322577	2.369988	2.115309	2.267578	2.206841	60.942083
CONTRA COSTA	Residential	158.267285	152.683103	148.652346	185.270144	179.469809	194.770744	186.936202	182.204596	183.184629	182.457134	180.813947	178.371013	185.415517	182.807123	186.481866	175.999738	197.554721	219.151505	197.816409	176.48223	173.625339	172.470987	198.288802	191.460975	172.48377	191.845919	188.639534	4923.605387
EL DORADO	Residential	21.536542	20.28784	19.276144	22.931901	21.571106	24.220475	23.017424	22.591426	22.425352	7.452913	7.385793	15.127659	22.551599	21.973006	22.139927	21.288974	3.954026	89.183389	93.622447	78.921278	72.564548	72.657896	14.093138	1.665969	1.36682	1.214832	0.900265	745.922689
FRESNO	Residential	98.004843	97.466723	94.600328	111.737258	110.680176	117.879175	114.347567	113.785694	112.787775	113.784305	113.328936	112.803275	116.310123	114.133556	116.446264	110.957839	113.962404	129.1482	122.804225	103.355098	108.655313	103.978321	115.775318	110.391533	105.225545	111.769543	111.394712	3005.514049
GLENN	Residential	2.295022	2.172447	2.139741	2.643611	2.560315	2.751844	2.673991	2.615248	2.67997	2.612927	2.589395	2.55441	2.655293	2.617939	2.670564	2.520452	2.889193	3.239272	3.169064	2.772552	2.782644	2.798388	2.91172	2.984223	2.699594	2.906481	2.822594	72.728894
HUMBOLDT	Residential	18.029718	17.32082	17.469944	22.092745	21.54765	21.72082	21.216467	21.668608	22.463924	21.361711	21.16933	20.883316	21.708073	21.402687	21.832919	20.605692	23.085008	25.520329	22.964881	20.771717	20.762566	20.23105	22.030697	22.471989	19.481293	22.530858	21.277042	573.621854
IMPERIAL	Residential	7.381508	7.278246	7.263473	7.947441	7.61885	7.844094	7.765831	7.607385	7.790915	8.194205	8.112518	7.905356	8.496261	8.011994	8.519954	8.629829	6.583625	6.890842	6.93909	6.406382	6.386567	6.468121	7.00601	6.770951	6.586217	6.739683	6.540222	199.68557
KERN	Residential	90.013296	88.872363	85.636394	102.999363	99.266742	107.15919	102.325966	102.478284	100.06095	103.54429	102.565517	100.607757	106.215248	102.582344	106.678521	104.134472	97.191168	107.080774	104.312447	91.393383	89.892323	87.331622	98.702129	94.510721	92.030933	97.145618	95.372229	2660.104044
KINGS	Residential	13.432762	13.581194	13.056814	15.260734	15.151474	16.513238	15.676122	15.922447	15.796419	16.121133	15.961354	15.565257	16.695478	15.785952	16.74494	16.892763	15.109065	16.214075	15.290343	13.183302	13.689484	14.261115	15.452272	15.046132	15.52573	15.928157	15.600663	413.458419
LOS ANGELES	Residential	1110.87021	1084.702447	1078.650081	1321.880395	1280.721545	1368.975316	1348.551301	1307.201116	1310.769567	1337.04729	1325.050983	1293.238114	1387.724925	1310.071379	1392.726852	1410.682797	1430.219302	1546.583644	1524.570607	1323.530877	1357.118903	1347.709542	1461.985268	1451.189723	1470.273147	1507.210703	1515.46051	36604.71654
MADERA	Residential	7.560923	7.678318	7.253987	8.825323	8.57923	9.155796	8.714132	8.704267	8.574913	8.728519	8.649911	8.533044	8.870044	8.745262	8.921057	8.419605	7.763942	8.728097	8.268429	7.275744	7.195226	6.912332	7.712684	7.24502	6.932971	7.352249	7.230603	218.531628
MARIN	Residential	47.542644	45.173576	44.248371	55.719522	55.392438	59.600901	57.224298	57.144213	57.58937	55.716098	55.214326	54.468338	56.619486	55.822972	56.945112	53.744232	64.524846	71.807945	66.947643	57.222467	60.55633	61.34948	65.106608	63.473949	57.597041	64.141503	63.172478	1564.066187
MENDOCINO	Residential	5.320781	5.010654	5.200627	6.225415	6.217438	6.508691	6.420096	6.319576	6.555548	6.25444	6.198114	6.114372	6.355851	6.266438	6.392404	6.033088	6.902925	7.628986	7.239367	6.343219	6.258635	5.879045	6.686487	6.641784	5.836307	6.16364	5.845926	168.819854
MERCED	Residential	23.564119	23.849454	22.948757	27.532782	26.852774	28.864362	27.108223	26.862567	27.0519	27.301437	27.055564	26.690023	27.744106	27.353807	27.903667	26.335204	25.377907	28.527948	26.555204	23.026363	22.780865	22.489312	25.872829	17.508277	23.593192	24.808516	24.421171	689.98033
MONTEREY	Residential	48.648718	46.820736	46.70745	57.653646	56.961908	57.819404	57.936663	57.764077	59.124174	56.915525	56.402951	55.640904	57.838361	57.0247	58.170997	54.90121	62.972803	70.898891	64.490295	57.546241	57.137375	56.459824	65.524605	63.094479	61.148495	69.780284	64.079396	1579.464112
NAPA	Residential	19.350196	18.423409	18.568666	22.608373	22.135337	23.656281	22.721373	22.7199	21.936376	22.313092	22.112143	21.813391	22.674879	22.355893	22.805286	21.523403	23.596674	26.122404	24.998865	21.36584	21.280785	21.347686	24.755759	25.088685	23.309997	23.795343	22.997728	606.377764
NEVADA	Residential	12.8953	11.674342	11.311529	13.163587	12.550058	14.141069	13.247245	12.758414	13.071993	12.442316	5.984929	5.904068	6.13724	6.050903	6.172536	5.825579	6.191007	6.332815	6.489629	5.136862	4.863043	4.738908	5.174772	4.97419	4.172576	4.306807	3.826668	219.538385
ORANGE	Residential	337.827012	316.917643	319.182227	397.971459	381.525327	407.680573	404.664818	386.279255	396.043776	401.224534	397.224804	387.081232	416.014542	392.302678	417.174665	422.554634	426.274734	478.499821	450.326469	396.614652	403.726927	397.460559	430.513427	414.373342	423.464433	433.331634	431.893804	10868.14898
PLACER	Residential	57.076916	53.368119	50.983037	62.014349	59.852205	65.145637	61.627361	60.330452	59.431686	79.019897	81.892196	74.427479	69.232328	66.084381	66.386803	61.991019	56.901849	39.740212	36.556419	29.79127	28.562757	26.401474	37.24368	35.863827	30.667723	32.389274	31.528075	1414.510425
RIVERSIDE	Residential	252.68832	224.847393	207.34392	253.347543	242.957284	269.219174	267.215375	257.963404	272.664673	266.215028	263.561182	256.830858	276.028293	260.295321	276.798042	280.367686	231.789232	245.426167	243.030405	209.360635	204.664087	205.959932	223.087621	217.086186	212.56101	217.513961	207.699271	6546.522003
SACRAMENTO	Residential	182.469741	176.522484	172.920651	209.649351	204.645176	220.407313	210.61836	211.280907	206.653254	208.381584	206.504925	203.714886	211.760309	208.781301	212.978171	201.006688	207.91672	226.755065	218.663211	189.402335	189.603286	187.791786	207.57248	205.746482	188.439699	204.645671	194.414105	5469.245941
SAN BENITO	Residential	5.900141	5.773879	5.520497	6.900597	6.636292	6.829514	6.756166	6.63106	6.729063	6.693379	6.633099	6.543481	6.801907	6.706218	6.841025	6.456492	7.174264	7.726998	6.95745	5.776373	5.493299	5.198282	5.94874	5.433239	4.893723	5.405677	5.016936	169.377791
