Traditional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month/QTR,CA,Alameda,Amador,Butte,Contra Costa,El Dorado,Fresno,Humboldt,Kern,Kings,Lake,LA,Madera,Marin,Mariposa/Tuolumne,Mendocino,Merced,Monterey,Napa,Orange,Placer,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Ventura,Yolo,Yuba
Jan-91,0.25,0.21,,,0.24,,0.43,,,,,0.22,,0.18,,,0.42,,,0.24,,0.40,0.38,,0.39,0.25,0.13,,0.19,0.12,0.22,0.24,0.15,,,,0.27,,,,,0.25,,
Feb-91,0.24,0.20,,,0.27,,0.44,,,,,0.22,,0.18,,,0.36,,,0.24,,0.39,0.39,,0.40,0.27,0.13,,0.21,0.18,0.25,0.25,0.15,,,,0.26,,,,,0.25,,
Mar-91,0.24,0.21,,,0.23,,0.48,,,,,0.21,,0.16,,,0.40,,,0.25,,0.40,0.37,,0.40,0.26,0.14,,0.23,0.14,0.19,0.25,0.16,,,,0.27,,,,,0.27,,
Apr-91,0.23,0.18,,,0.21,,0.47,,,,,0.21,,0.16,,,0.37,,,0.24,,0.40,0.36,,0.40,0.27,0.13,,0.21,0.14,0.15,0.23,0.17,,,,0.28,,,,,0.25,,
May-91,0.22,0.17,,,0.19,,0.44,,,,,0.18,,0.16,,,0.42,,,0.25,,0.40,0.37,,0.40,0.25,0.13,,0.20,0.13,0.19,0.22,0.16,,,,0.27,,,,,0.27,,
Jun-91,0.24,0.20,,,0.20,,0.46,,,,,0.19,,0.15,,,0.40,,,0.25,,0.40,0.38,,0.41,0.26,0.12,,0.17,0.13,0.20,0.21,0.15,,,,0.25,,,,,0.24,,
Jul-91,0.24,0.19,,,0.19,,0.44,,,,,0.20,,0.16,,,0.40,,,0.24,,0.40,0.37,,0.38,0.25,0.12,,0.20,0.13,0.19,0.23,0.16,,,,0.25,,,,,0.27,,
Aug-91,0.25,0.20,,,0.24,,0.45,,,,,0.21,,0.16,,,0.36,,,0.25,,0.39,0.37,,0.42,0.24,0.13,,0.19,0.12,0.24,0.23,0.16,,,,0.25,,,,,0.26,,
Sep-91,0.26,0.22,,,0.23,,0.46,,,,,0.21,,0.17,,,0.43,,,0.27,,0.40,0.40,,0.42,0.29,0.14,,0.22,0.14,0.29,0.27,0.16,,,,0.25,,,,,0.27,,
Oct-91,0.27,0.24,,,0.24,,0.44,,,,,0.23,,0.18,,,0.45,,,0.29,,0.43,0.41,,0.41,0.29,0.15,,0.26,0.15,0.23,0.28,0.20,,,,0.28,,,,,0.28,,
Nov-91,0.29,0.25,,,0.26,,0.48,,,,,0.25,,0.17,,,0.43,,,0.30,,0.43,0.45,,0.45,0.31,0.15,,0.25,0.15,0.18,0.30,0.19,,,,0.29,,,,,0.32,,
Dec-91,0.29,0.24,,,0.24,,0.51,,,,,0.26,,0.18,,,0.46,,,0.31,,0.46,0.43,,0.45,0.30,0.16,,0.25,0.19,0.25,0.29,0.22,,,,0.28,,,,,0.33,,
Jan-92,0.31,0.29,,,0.33,,0.53,,,,,0.27,,0.20,,,0.43,,,0.33,,0.46,0.45,,0.46,0.33,0.18,,0.23,0.22,0.29,0.33,0.20,,,,0.31,,,,,0.35,,
Feb-92,0.30,0.28,,,0.31,,0.48,,,,,0.26,,0.27,,,0.43,,,0.34,,0.44,0.44,,0.45,0.34,0.17,,0.23,0.18,0.26,0.33,0.21,,,,0.30,,,,,0.35,,
Mar-92,0.29,0.26,,,0.27,,0.49,,,,,0.25,,0.18,,,0.43,,,0.31,,0.44,0.45,,0.46,0.31,0.17,,0.30,0.18,0.24,0.31,0.21,,,,0.29,,,,,0.35,,
Apr-92,0.29,0.25,,,0.23,,0.49,,,,,0.26,,0.23,,,0.46,,,0.32,,0.45,0.44,,0.44,0.32,0.16,,0.31,0.21,0.25,0.30,0.18,,,,0.29,,,,,0.33,,
May-92,0.29,0.27,,,0.25,,0.47,,,,,0.25,,0.19,,,0.46,,,0.30,,0.46,0.45,,0.45,0.31,0.17,,0.30,0.18,0.23,0.28,0.22,,,,0.27,,,,,0.36,,
Jun-92,0.30,0.26,,,0.23,,0.47,,,,,0.27,,0.20,,,0.46,,,0.33,,0.45,0.45,,0.47,0.33,0.16,,0.28,0.17,0.26,0.31,0.24,,,,0.27,,,,,0.37,,
Jul-92,0.32,0.29,,,0.22,,0.50,,,,,0.28,,0.20,,,0.46,,,0.34,,0.47,0.47,,0.47,0.33,0.18,,0.29,0.18,0.25,0.33,0.24,,,,0.32,,,,,0.35,,
Aug-92,0.34,0.29,,,0.18,,0.52,,,,,0.29,,0.19,,,0.46,,,0.34,,0.48,0.47,,0.48,0.36,0.18,,0.33,0.21,0.26,0.37,0.28,,,,0.33,,,,,0.37,,
Sep-92,0.34,0.31,,,0.23,,0.48,,,,,0.31,,0.26,,,0.50,,,0.37,,0.49,0.49,,0.50,0.35,0.19,,0.32,0.22,0.27,0.37,0.25,,,,0.33,,,,,0.41,,
Oct-92,0.35,0.32,,,0.25,,0.50,,,,,0.32,,0.25,,,0.51,,,0.38,,0.50,0.50,,0.49,0.37,0.21,,0.29,0.23,0.27,0.38,0.25,,,,0.33,,,,,0.43,,
Nov-92,0.36,0.31,,,0.23,,0.53,,,,,0.31,,0.25,,,0.55,,,0.38,,0.50,0.51,,0.49,0.37,0.22,,0.31,0.21,0.31,0.39,0.28,,,,0.34,,,,,0.40,,
Dec-92,0.35,0.30,,,0.26,,0.54,,,,,0.30,,0.24,,,0.45,,,0.38,,0.50,0.50,,0.49,0.37,0.22,,0.31,0.24,0.31,0.35,0.30,,,,0.32,,,,,0.41,,
Jan-93,0.36,0.34,,,0.30,,0.54,,,,,0.32,,0.28,,,0.46,,,0.39,,0.53,0.50,,0.49,0.39,0.21,,0.32,0.23,0.31,0.38,0.26,,,,0.35,,,,,0.46,,
Feb-93,0.38,0.37,,,0.29,,0.53,,,,,0.34,,0.27,,,0.55,,,0.41,,0.51,0.53,,0.51,0.39,0.24,,0.32,0.25,0.28,0.40,0.27,,,,0.37,,,,,0.47,,
Mar-93,0.38,0.34,,,0.28,,0.55,,,,,0.36,,0.27,,,0.58,,,0.42,,0.51,0.52,,0.50,0.41,0.22,,0.31,0.25,0.36,0.40,0.30,,,,0.38,,,,,0.44,,
Apr-93,0.38,0.34,,,0.28,,0.55,,,,,0.36,,0.30,,,0.50,,,0.43,,0.53,0.52,,0.53,0.40,0.22,,0.35,0.26,0.30,0.41,0.30,,,,0.37,,,,,0.46,,
May-93,0.39,0.34,,,0.25,,0.54,,,,,0.36,,0.27,,,0.53,,,0.43,,0.52,0.53,,0.51,0.40,0.23,,0.36,0.27,0.42,0.41,0.31,,,,0.36,,,,,0.46,,
Jun-93,0.39,0.32,,,0.25,,0.56,,,,,0.37,,0.24,,,0.55,,,0.43,,0.52,0.55,,0.52,0.40,0.22,,0.33,0.27,0.34,0.40,0.30,,,,0.36,,,,,0.43,,
Jul-93,0.39,0.36,,,0.29,,0.53,,,,,0.37,,0.28,,,0.57,,,0.43,,0.52,0.53,,0.51,0.42,0.24,,0.31,0.28,0.33,0.39,0.30,,,,0.37,,,,,0.48,,
Aug-93,0.40,0.34,,,0.28,,0.55,,,,,0.37,,0.27,,,0.55,,,0.44,,0.54,0.55,,0.52,0.41,0.25,,0.32,0.28,0.38,0.41,0.31,,,,0.38,,,,,0.44,,
Sep-93,0.41,0.38,,,0.28,,0.54,,,,,0.37,,0.28,,,0.55,,,0.45,,0.57,0.56,,0.54,0.44,0.25,,0.36,0.27,0.31,0.42,0.30,,,,0.40,,,,,0.49,,
Oct-93,0.42,0.40,,,0.31,,0.56,,,,,0.39,,0.30,,,0.54,,,0.47,,0.56,0.56,,0.55,0.42,0.25,,0.40,0.28,0.37,0.44,0.34,,,,0.41,,,,,0.50,,
Nov-93,0.42,0.38,,,0.31,,0.56,,,,,0.39,,0.28,,,0.56,,,0.46,,0.57,0.57,,0.54,0.44,0.25,,0.35,0.30,0.39,0.43,0.32,,,,0.41,,,,,0.51,,
Dec-93,0.42,0.40,,,0.30,,0.55,,,,,0.39,,0.31,,,0.53,,,0.48,,0.57,0.57,,0.55,0.44,0.25,,0.41,0.30,0.37,0.43,0.35,,,,0.41,,,,,0.51,,
Jan-94,0.42,0.39,,,0.33,,0.47,,,,,0.39,,0.32,,,0.58,,,0.49,,0.57,0.57,,0.54,0.44,0.26,,0.38,0.26,0.38,0.43,0.35,,,,0.44,,,,,0.50,,
Feb-94,0.43,0.40,,,0.29,,0.53,,,,,0.41,,0.28,,,0.62,,,0.49,,0.56,0.58,,0.56,0.43,0.27,,0.38,0.31,0.33,0.43,0.36,,,,0.41,,,,,0.50,,
Mar-94,0.41,0.38,,,0.30,,0.54,,,,,0.38,,0.29,,,0.57,,,0.46,,0.57,0.55,,0.55,0.42,0.27,,0.39,0.24,0.30,0.39,0.31,,,,0.39,,,,,0.50,,
Apr-94,0.40,0.35,,,0.29,,0.54,,,,,0.37,,0.23,,,0.56,,,0.43,,0.56,0.55,,0.54,0.41,0.23,,0.39,0.26,0.32,0.38,0.32,,,,0.40,,,,,0.48,,
May-94,0.39,0.37,,,0.28,,0.54,,,,,0.36,,0.25,,,0.56,,,0.43,,0.56,0.54,,0.53,0.39,0.22,,0.35,0.26,0.32,0.39,0.31,,,,0.39,,,,,0.45,,
Jun-94,0.37,0.33,,,0.25,,0.50,,,,,0.36,,0.25,,,0.45,,,0.41,,0.55,0.56,,0.53,0.39,0.21,,0.37,0.24,0.31,0.35,0.32,,,,0.36,,,,,0.41,,
Jul-94,0.37,0.35,,,0.26,,0.55,,,,,0.35,,0.22,,,0.52,,,0.39,,0.55,0.56,,0.53,0.38,0.23,,0.36,0.23,0.28,0.39,0.31,,,,0.35,,,,,0.43,,
Aug-94,0.37,0.36,,,0.26,,0.54,,,,,0.34,,0.23,,,0.52,,,0.39,,0.55,0.55,,0.53,0.39,0.23,,0.35,0.22,0.29,0.36,0.35,,,,0.36,,,,,0.39,,
Sep-94,0.37,0.33,,,0.25,,0.55,,,,,0.35,,0.25,,,0.53,,,0.39,,0.56,0.57,,0.53,0.39,0.23,,0.34,0.22,0.35,0.37,0.32,,,,0.34,,,,,0.40,,
Oct-94,0.38,0.34,,,0.25,,0.51,,,,,0.36,,0.26,,,0.51,,,0.38,,0.56,0.56,,0.54,0.40,0.25,,0.38,0.24,0.33,0.39,0.33,,,,0.34,,,,,0.38,,
Nov-94,0.38,0.35,,,0.27,,0.53,,,,,0.36,,0.23,,,0.49,,,0.39,,0.57,0.56,,0.54,0.40,0.24,,0.35,0.21,0.29,0.40,0.34,,,,0.34,,,,,0.40,,
Dec-94,0.38,0.33,,,0.26,,0.53,,,,,0.36,,0.23,,,0.49,,,0.35,,0.55,0.55,,0.54,0.38,0.21,,0.35,0.22,0.43,0.38,0.30,,,,0.34,,,,,0.40,,
Jan-95,0.38,0.37,,,0.29,,0.55,,,,,0.36,,0.24,,,0.53,,,0.40,,0.51,0.56,,0.48,0.39,0.21,,0.39,0.26,0.27,0.40,0.34,,,,0.31,,,,,0.41,,
Feb-95,0.38,0.35,,,0.28,,0.56,,,,,0.36,,0.24,,,0.46,,,0.39,,0.52,0.55,,0.49,0.36,0.22,,0.38,0.25,0.29,0.35,0.33,,,,0.34,,,,,0.42,,
Mar-95,0.37,0.35,,,0.26,,0.52,,,,,0.36,,0.25,,,0.53,,,0.36,,0.52,0.55,,0.50,0.36,0.21,,0.36,0.20,0.32,0.37,0.30,,,,0.32,,,,,0.41,,
Apr-95,0.37,0.34,,,0.25,,0.51,,,,,0.35,,0.23,,,0.50,,,0.39,,0.50,0.57,,0.48,0.39,0.20,,0.37,0.23,0.31,0.37,0.30,,,,0.33,,,,,0.40,,
May-95,0.38,0.33,,,0.25,,0.53,,,,,0.36,,0.24,,,0.52,,,0.37,,0.54,0.58,,0.49,0.39,0.22,,0.32,0.22,0.31,0.37,0.31,,,,0.34,,,,,0.43,,
Jun-95,0.38,0.33,,,0.23,,0.51,,,,,0.37,,0.24,,,0.50,,,0.38,,0.53,0.56,,0.50,0.37,0.20,,0.36,0.24,0.40,0.33,0.32,,,,0.35,,,,,0.41,,
Jul-95,0.38,0.34,,,0.23,,0.51,,,,,0.37,,0.23,,,0.49,,,0.38,,0.53,0.57,,0.49,0.37,0.21,,0.39,0.20,0.34,0.36,0.31,,,,0.36,,,,,0.42,,
Aug-95,0.37,0.34,,,0.22,,0.50,,,,,0.36,,0.21,,,0.46,,,0.39,,0.52,0.56,,0.51,0.37,0.21,,0.34,0.22,0.30,0.34,0.28,,,,0.36,,,,,0.42,,
Sep-95,0.37,0.34,,,0.22,,0.54,,,,,0.34,,0.21,,,0.49,,,0.40,,0.55,0.56,,0.52,0.38,0.21,,0.34,0.21,0.26,0.35,0.32,,,,0.36,,,,,0.45,,
Oct-95,0.39,0.36,,,0.24,,0.53,,,,,0.37,,0.26,,,0.49,,,0.40,,0.52,0.56,,0.51,0.39,0.25,,0.39,0.23,0.30,0.37,0.34,,,,0.37,,,,,0.44,,
Nov-95,0.39,0.36,,,0.26,,0.54,,,,,0.38,,0.27,,,0.56,,,0.41,,0.52,0.57,,0.52,0.37,0.21,,0.36,0.24,0.40,0.35,0.34,,,,0.41,,,,,0.41,,
Dec-95,0.40,0.38,,,0.29,,0.55,,,,,0.38,,0.24,,,0.53,,,0.42,,0.53,0.60,,0.55,0.40,0.24,,0.39,0.27,0.33,0.38,0.35,,,,0.40,,,,,0.47,,
Jan-96,0.41,0.39,,,0.31,,0.56,,,,,0.40,,0.27,,,0.54,,,0.43,,0.52,0.61,,0.55,0.38,0.22,,0.39,0.24,0.28,0.38,0.32,,,,0.41,,,,,0.44,,
Feb-96,0.42,0.39,,,0.29,,0.56,,,,,0.41,,0.26,,,0.49,,,0.42,,0.56,0.62,,0.54,0.39,0.24,,0.44,0.28,0.35,0.40,0.33,,,,0.38,,,,,0.47,,
Mar-96,0.40,0.37,,,0.27,,0.55,,,,,0.39,,0.23,,,0.57,,,0.43,,0.55,0.59,,0.55,0.39,0.23,,0.41,0.24,0.37,0.35,0.32,,,,0.39,,,,,0.46,,
Apr-96,0.39,0.36,,,0.24,,0.54,,,,,0.39,,0.21,,,0.54,,,0.39,,0.53,0.58,,0.53,0.39,0.19,,0.38,0.22,0.37,0.35,0.36,,,,0.41,,,,,0.42,,
May-96,0.38,0.35,,,0.22,,0.56,,,,,0.39,,0.20,,,0.49,,,0.38,,0.53,0.57,,0.54,0.38,0.20,,0.36,0.21,0.25,0.32,0.32,,,,0.39,,,,,0.39,,
Jun-96,0.38,0.35,,,0.22,,0.54,,,,,0.37,,0.19,,,0.52,,,0.37,,0.51,0.58,,0.52,0.36,0.20,,0.33,0.20,0.31,0.32,0.30,,,,0.39,,,,,0.42,,
Jul-96,0.37,0.33,,,0.21,,0.54,,,,,0.37,,0.20,,,0.46,,,0.38,,0.54,0.57,,0.54,0.35,0.21,,0.34,0.18,0.30,0.30,0.31,,,,0.40,,,,,0.42,,
Aug-96,0.38,0.34,,,0.24,,0.56,,,,,0.39,,0.22,,,0.50,,,0.38,,0.54,0.59,,0.54,0.37,0.21,,0.35,0.19,0.31,0.33,0.30,,,,0.40,,,,,0.41,,
Sep-96,0.39,0.34,,,0.22,,0.54,,,,,0.38,,0.22,,,0.55,,,0.38,,0.54,0.59,,0.57,0.38,0.21,,0.38,0.21,0.29,0.34,0.31,,,,0.39,,,,,0.45,,
Oct-96,0.41,0.35,,,0.23,,0.58,,,,,0.40,,0.23,,,0.58,,,0.40,,0.56,0.60,,0.58,0.39,0.25,,0.36,0.21,0.32,0.34,0.31,,,,0.41,,,,,0.43,,
Nov-96,0.42,0.36,,,0.29,,0.56,,,,,0.41,,0.22,,,0.56,,,0.41,,0.56,0.62,,0.57,0.37,0.22,,0.41,0.22,0.34,0.33,0.34,,,,0.44,,,,,0.41,,
Dec-96,0.43,0.39,,,0.29,,0.58,,,,,0.43,,0.23,,,0.52,,,0.41,,0.55,0.63,,0.59,0.41,0.22,,0.41,0.24,0.33,0.34,0.34,,,,0.46,,,,,0.44,,
Jan-97,0.42,0.38,,,0.28,,0.59,,,,,0.42,,0.23,,,0.57,,,0.41,,0.56,0.61,,0.58,0.39,0.24,,0.39,0.23,0.30,0.34,0.29,,,,0.42,,,,,0.41,,
Feb-97,0.44,0.40,,,0.28,,0.57,,,,,0.42,,0.29,,,0.52,,,0.42,,0.55,0.62,,0.59,0.42,0.23,,0.40,0.24,0.33,0.34,0.33,,,,0.42,,,,,0.46,,
Mar-97,0.41,0.40,,,0.29,,0.55,,,,,0.40,,0.21,,,0.53,,,0.39,,0.56,0.60,,0.56,0.38,0.21,,0.35,0.22,0.33,0.32,0.30,,,,0.42,,,,,0.45,,
Apr-97,0.40,0.34,,,0.27,,0.58,,,,,0.40,,0.20,,,0.53,,,0.38,,0.56,0.62,,0.55,0.38,0.21,,0.38,0.19,0.26,0.28,0.30,,,,0.37,,,,,0.41,,
May-97,0.39,0.34,,,0.22,,0.58,,,,,0.39,,0.19,,,0.56,,,0.38,,0.55,0.60,,0.55,0.37,0.21,,0.36,0.22,0.24,0.32,0.30,,,,0.38,,,,,0.41,,
