"Time","For-Sale Inventory, Seasonally Adjusted Alameda California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Amador California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Butte California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Calaveras California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Colusa California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Contra Costa California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted El Dorado California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Fresno California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Glenn California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Imperial California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Inyo California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Kern California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Kings California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Lake California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Lassen California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Los Angeles California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Madera California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Marin California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Mariposa California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Mendocino California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Merced California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Napa California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Nevada California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Orange California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Placer California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Riverside California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Sacramento California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted San Bernardino California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted San Diego California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted San Joaquin California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted San Luis Obispo California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted San Mateo California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Santa Barbara California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Santa Clara California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Santa Cruz California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Shasta California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Siskiyou California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Sonoma California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Stanislaus California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Sutter California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Tehama California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Tulare California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Tuolumne California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Ventura California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Yolo California  - For Sale Inventory SA
  - #","For-Sale Inventory, Seasonally Adjusted Yuba California  - For Sale Inventory SA
  - #"
"201801","990","198","487","354","29","1166","681","1347","56","261","45","1783","182","419","111","10121","433","351","87","313","388","208","512","4815","1209","7572","1799","5306","4952","739","902","466","777","1053","313","529","276","561","721","154","95","717","417","1289","173","102"
"201712","878","199","493","347","29","1105","666","1370","54","266","44","1758","169","422","110","9920","433","331","86","308","373","206","520","4667","1189","7498","1791","5319","4764","758","893","399","778","880","318","543","273","493","734","161","91","701","422","1264","167","113"
"201711","824","206","501","343","27","1106","671","1389","52","269","44","1736","156","418","111","9982","435","316","83","305","363","209","524","4597","1197","7494","1850","5347","4628","777","880","351","778","707","321","562","278","453","746","165","87","685","430","1231","170","120"
"201710","835","212","516","342","27","1127","683","1401","52","270","46","1724","150","416","115","10198","434","320","80","305","364","215","526","4627","1241","7540","1930","5496","4560","792","866","355","787","629","325","571","285","486","758","160","89","661","445","1208","183","121"
"201709","838","210","524","342","28","1120","686","1441","53","271","47","1728","154","411","119","10274","431","327","80","308","357","219","531","4634","1298","7625","1946","5673","4507","798","849","367","802","640","322","568","281","543","778","153","92","639","469","1184","201","119"
"201708","840","206","514","340","29","1129","710","1510","52","275","48","1762","165","394","117","10281","422","325","80","310","335","222","536","4642","1365","7692","1916","5685","4477","813","829","363","809","703","316","568","273","563","801","148","91","645","491","1170","221","114"
"201707","896","203","502","330","30","1189","758","1553","53","284","49","1862","178","379","113","10550","410","335","79","308","334","224","532","4836","1421","7795","1907","5677","4532","838","822","382","811","843","323","571","263","560","811","145","94","673","508","1203","236","109"
"201706","970","198","509","325","33","1270","788","1635","55","295","52","1991","191","368","119","11026","418","353","79","307","359","225","523","5181","1465","7997","1960","5771","4717","864","837","427","810","1026","333","575","258","556","834","135","103","704","514","1284","248","110"
"201705","1030","199","513","341","34","1312","773","1763","55","300","55","2089","198","351","128","11279","430","368","78","306","376","229","510","5387","1469","8139","1991","5824","5082","853","848","470","823","1190","328","574","250","565","853","126","106","735","508","1334","244","117"
"201704","1083","209","511","358","34","1309","729","1772","58","295","59","2156","190","339","135","11392","423","390","80","305","383","241","494","5396","1421","8251","1951","5831","5518","806","858","511","856","1322","322","558","234","578","833","128","101","755","486","1339","221","124"
"201703","1139","221","516","363","36","1319","716","1706","63","290","61","2230","184","348","140","11691","418","414","83","307","386","257","494","5411","1419","8513","1936","5877","5798","790","886","539","897","1422","325","553","228","591","824","131","101","756","436","1438","217","127"
"201702","1194","226","529","366","37","1353","742","1709","64","290","62","2290","184","364","144","12102","421","424","88","305","379","270","519","5503","1479","8764","2014","5973","5820","801","929","558","937","1484","330","574","235","618","840","128","107","744","402","1625","235","126"
"201701","1209","222","545","369","36","1393","762","1774","61","288","62","2317","183","377","148","12457","420","414","89","306","370","268","542","5589","1541","8902","2146","6116","5749","832","976","560","961","1478","336","585","244","636","879","117","110","729","415","1746","253","121"
"201612","1211","218","561","373","35","1439","759","1838","58","285","60","2377","189","385","150","12739","417","390","90","310","371","255","544","5699","1578","9123","2262","6291","5847","881","1011","542","974","1449","341","582","251","621","954","105","113","739","431","1829","269","112"
"201611","1250","222","567","374","37","1512","766","1875","61","279","55","2487","200","385","157","13003","421","381","94","310","375","252","538","5885","1608","9425","2386","6440","6138","934","1032","553","997","1500","347","584","255","596","1023","113","115","770","437","1936","279","108"
"201610","1311","233","560","365","35","1589","801","1914","65","274","51","2607","206","386","163","13316","431","405","100","316","374","261","530","6097","1656","9740","2531","6557","6524","985","1035","594","1021","1619","350","588","263","598","1049","135","117","803","447","2008","281","113"
"201609","1367","241","569","351","34","1625","839","1956","65","278","52","2707","208","388","161","13783","445","436","103","327","380","277","521","6375","1720","10169","2613","6787","6869","1009","1036","636","1032","1734","345","599","264","632","1045","148","117","825","457","2015","282","122"
"201608","1425","236","613","351","35","1634","858","1974","64","281","57","2746","207","386","159","14286","466","448","104","330","406","290","536","6730","1776","10569","2604","7100","7054","1012","1063","667","1042","1834","346","626","248","668","1015","152","120","829","470","2015","287","132"
"201607","1468","228","651","369","36","1644","869","1965","64","272","57","2701","204","384","155","14184","473","446","107","334","431","293","567","6826","1794","10605","2523","7151","7081","990","1066","663","1045","1899","352","643","227","691","962","157","118","832","479","1958","293","134"
"201606","1439","222","646","385","34","1627","875","1951","64","262","56","2592","199","386","148","13457","460","446","105","339","438","292","604","6539","1769","10408","2421","6917","7014","951","1023","631","1033","1875","343","643","212","697","915","156","108","840","480","1813","294","125"
"201605","1347","219","643","397","33","1549","875","1922","61","260","58","2506","192","385","135","12961","454","447","103","337","445","298","647","6267","1755","10316","2376","6728","6983","938","991","604","997","1775","336","651","209","687","889","155","101","828","479","1717","296","116"
"201604","1262","217","655","401","35","1445","880","1799","58","261","63","2464","184","376","116","12738","461","437","101","331","452","300","660","6175","1754","10275","2329","6639","6929","943","971","584","942","1669","341","663","216","670","889","161","100","777","471","1646","292","114"
"201603","1187","211","645","387","36","1336","867","1632","56","262","69","2408","183","365","105","12486","468","424","101","330","448","290","637","6045","1686","10223","2212","6553","6611","915","949","569","897","1585","347","665","217","651","887","166","100","728","443","1543","278","122"
