"Time","Median Listing Price per Square Foot - All Homes Alameda California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Amador California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Butte California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Calaveras California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Colusa California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Contra Costa California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes El Dorado California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Fresno California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Glenn California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Humboldt California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Inyo California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Kern California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Kings California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Lake California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Lassen California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Los Angeles California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Madera California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Marin California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Mariposa California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Merced California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Modoc California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Mono California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Monterey California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Napa California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Nevada California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Orange California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Placer California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Plumas California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Riverside California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Sacramento California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes San Benito California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes San Bernardino California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes San Diego California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes San Francisco California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes San Joaquin California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes San Luis Obispo California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes San Mateo California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Santa Barbara California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Santa Clara California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Santa Cruz California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Shasta California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Sierra California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Siskiyou California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Solano California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Sonoma California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Stanislaus California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Sutter California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Tehama California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Trinity California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Tulare California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Tuolumne California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Ventura California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Yolo California  - Sales Price
  - $/sqft","Median Listing Price per Square Foot - All Homes Yuba California  - Sales Price
  - $/sqft"
"201801","490.52","196.43","180.44","199.13","169.72","334.27","253.35","157.76","171.3","244.11","198.21","137.82","141.55","180.65","134.97","408.06","162.15","631.71","191.97","159.49","102.63","356.54","444.43","469.33","269.05","421.38","249.38","191.9","202.36","215.38","288.65","193.85","360.56","1057.39","203.45","361.52","818.0599999999999","485.36","630.46","523.36","173.62","238.29","151.14","249.36","411.54","189.4","168","154.3","239.6","142.51","182.72","353.13","257.95","161.06"
"201712","487.83","196.43","180.97","199.49","171.96","337.94","248.81","156.88","168.65","235.47","198.21","136.38","141.26","178.3","136.36","406.94","161.15","629.55","191.15","158.68","103.02","358.56","445.65","463","269.78","416.5","247.9","193.38","200.4","214.59","284.49","194.01","356.67","1023.2","201.37","361.46","794.47","495.89","621.41","522.55","171.53","229.95","151.07","248.6","425.22","187.41","167.41","155.28","239.6","139.6","181.42","349.92","257.86","160.26"
"201711","492.72","194.34","181.73","201.19","163.59","355.92","246.69","156.14","167.44","230.64","206.48","136.53","140.88","177.54","136.23","409.15","159.28","636.05","190.61","159.01","102.72","356.73","446.07","475.31","272.53","415.38","244.76","202.51","198.22","214.76","289.36","195.65","354.13","1003.02","200.87","358.9","809.91","504.72","623.05","519.5","169.5","225.2","150.73","246.91","426.06","187.82","168.62","152.48","239.58","140.34","183.98","348.64","252.45","157.56"
"201710","492.42","196.94","180.41","202.25","162.9","362.02","249.85","156.25","163.13","227.9","205.05","136.85","137.25","175.74","137.25","407.8","159.21","635.1900000000001","184.88","158.39","103.34","353.33","448.33","473.67","275.94","413.89","247.36","198.95","196.33","214.67","292.57","196.43","353.8","992.96","199.68","359.89","795.17","516.2","620.8099999999999","526.59","168.71","220.05","151.67","246.94","412.38","187.95","168.11","150.89","213.41","139.55","184.22","346.9","250","154.25"
"201709","485.23","198.17","178.24","202.88","159.84","357.95","251.84","155.6","155.59","237.09","203.87","136.52","135.17","178.11","136.79","405.72","156.7","630.58","184.88","157.38","101.52","344.05","446.19","463.66","279.53","413.57","248.69","198.36","194.6","215.92","289.58","196.95","353.68","975.5599999999999","198.03","358.87","794.12","523.84","602.64","518.37","168.77","220.21","152.61","244.21","408.47","187.5","164.99","150.75","233.02","138.72","183.95","349.87","249.33","155.92"
"201708","479.89","197.15","179.03","205.29","164.36","360.58","250.96","155.48","156.48","234.43","196.82","136.16","133.68","178.33","139.69","405.63","158.34","617.28","189.7","158.47","99.7","336.24","439.17","462.88","279.36","412.19","246.38","191.74","193.11","216.29","282.09","194.41","352.4","993.52","196.62","359.82","780.17","530.09","599.5700000000001","502.66","167.97","223.97","155.03","247.09","406.37","185.74","162.67","150.75","228.24","138.97","184.17","350.09","249","156.76"
"201707","475.54","195.53","179.86","205.42","155","364.17","246.82","155.88","156.72","234.63","202.51","136.11","135.37","178.11","140.69","403.76","158.51","608.23","191.05","154.38","98.92","326.34","444.37","451.43","277.23","410.32","246.11","194","193.07","215.35","281.85","192.84","350.59","1002.18","195.76","357.83","780.2","530.83","587.91","502.19","169.14","224.73","155.64","245.03","400.32","183.01","159.61","151.82","217.09","139.43","185.5","347.22","253.98","156.83"
"201706","474.35","197.11","176.93","201.91","149.72","363.1","245.62","153.11","152.04","232.85","207.72","134.71","137.04","177.82","140.5","402.96","155.46","628.24","188.38","153.13","92.04000000000001","327.33","440.91","441.84","275.88","407.81","242.07","190.16","192.6","213.76","286.95","191.29","348.86","1001.28","192.84","353.39","775.5599999999999","544.35","585.7","505.64","169.59","224.73","154.1","240.98","402.08","181.87","160.36","155.46","205.18","138.28","187.89","345.9","251.83","154.4"
"201705","479.56","194.54","176.64","198.34","149.4","369.27","245.58","152.27","154.03","226.45","203.42","134.52","138.74","172.46","137.22","405.93","155.68","630.91","184.61","151.97","93.40000000000001","329.31","439.52","434.18","268.57","408.82","240.31","188.37","191.78","212.63","294.06","192.55","349.88","1006.49","193.18","351.92","778.26","575.91","592.26","501.81","169.68","221.48","150.83","239.84","403.38","180.91","159.83","155.5","212.5","137.8","185.65","345.53","247.03","156.35"
"201704","474.86","195.52","174.06","196.43","151.52","365.36","245.47","150","156.73","202.86","211.67","133.65","136.36","168.37","137.69","402.3","152.52","646.55","180.8","150.43","93.40000000000001","321.71","437.31","430.16","260.99","406","241.19","182.69","190.47","210.28","283.94","189.89","345.64","1000","192.58","351.11","779.02","537.08","583.2","500.45","168.5","232.48","147.73","236.38","398.4","178.89","156.81","156.32","227.7","136.87","182.5","342.48","241","156.54"
