"Time","Median Sold Price per Square Foot - All Homes Alameda California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Alpine California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Amador California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Butte California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Calaveras California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Contra Costa California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes El Dorado California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Fresno California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Glenn California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Humboldt California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Imperial California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Inyo California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Kern California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Kings California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Lake California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Lassen California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Los Angeles California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Madera California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Marin California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Mendocino California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Merced California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Modoc California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Mono California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Monterey California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Napa California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Nevada California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Orange California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Placer California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Plumas California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Riverside California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Sacramento California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes San Benito California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes San Bernardino California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes San Diego California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes San Francisco California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes San Joaquin California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes San Luis Obispo California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes San Mateo California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Santa Barbara California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Santa Clara California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Santa Cruz California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Shasta California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Siskiyou California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Solano California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Sonoma California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Stanislaus California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Sutter California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Tehama California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Tulare California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Tuolumne California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Ventura California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Yolo California  - Sales Price
  - $/sqft","Median Sold Price per Square Foot - All Homes Yuba California  - Sales Price
  - $/sqft"
"201607","478.12","","186.57","170.37","","353.18","225.73","139.13","","","130.22","","129.35","129.11","","","368.83","126.63","560.77","","133.82","","","329.32","369.48","224.79","380.92","218.41","","174","195.77","","176.59","321.67","949.91","175.32","305.63","766.62","264.23","594.78","453.63","153.72","136.09","228.45","348.32","163.43","141.25","133.37","125.72","165.03","316.81","228.51","133.38"
"201606","482.11","","170.79","169.71","172.19","352.58","222.85","138.76","141.03","182.31","126.3","180.81","127.2","126.94","","118","368.4","128.57","586.12","","132.09","","","332.03","372.31","223.23","377.75","217.37","145.57","172.83","194.96","266.67","179.58","320.44","955.09","172.83","310.5","754.33","276.21","599.01","468.33","151.93","121.08","223.28","341.02","161.39","138.01","131.66","125.07","163.71","315.02","240.34","134.32"
"201605","476.93","","167.62","168.33","162.4","345.39","217.9","136.98","124.95","190","123.12","","124.82","125.35","142.52","107.8","364.64","125.53","568.47","","128.44","","278.67","326.04","377.33","224.59","374.66","217.8","132.31","173.01","191.45","","180.02","320.13","960.21","172.59","311.84","747.26","274.44","594.45","459.21","150.43","120.96","220.3","335.7","158.4","137.73","129.88","123.58","156.19","312.26","236.54","133.66"
"201604","465.82","","162.39","163.58","157.59","339.19","217.22","135.17","112.82","","124.37","","124.69","122.56","139.45","116.61","361.77","122.97","560.67","","127.22","","277.74","330.72","369.54","222.98","374.75","216.32","116.06","173.06","187.08","","175.74","318.01","966.25","168.35","310.08","744.47","280.2","584.62","467.52","147.91","122.12","215.27","327.47","157.73","137.43","131.26","122.65","155.7","306.64","218.5","136.13"
"201603","455.96","","153.45","159.4","152.98","322.3","214.08","132.99","117.72","","121.81","166.88","124.23","120.71","134","112.19","356.59","121.78","494.75","217.8","127.06","","265.28","313.35","367.18","219.97","372.59","211.96","","170.33","183.1","279.58","174.88","312.01","965.63","166.63","304.49","719.8200000000001","281.02","562.99","464.16","147.16","127.59","212.91","325.01","156.63","136.55","129.07","120.84","151.35","301.92","212.07","129.7"
"201602","447.02","","144.73","150.33","154.96","300.87","208.53","130.45","","","124.62","","122.23","120.13","130.56","100.87","350.47","122.02","482.37","","125.13","","256.13","308.26","356.79","219.68","364.97","210.1","130.64","168.36","180.48","","174.51","308.57","945.4299999999999","164.33","305.41","703.71","290.97","537.33","448.58","148.83","114.98","212.63","319.13","154.06","138.06","127.81","121.17","142.23","299.7","210.34","125.5"
"201601","443.69","","148.24","153.9","152.96","302.69","207.31","130.82","147.66","","","","124","118.35","146.62","98.5","351.01","123.68","501.4","","126.7","","262.58","315.86","360.3","224.44","362.92","210.52","136.56","168.24","180.45","","175.99","311.01","945.09","164.01","303.21","692.23","261.6","530.64","441.54","147.14","114.21","211.64","321","151.46","134.78","120.05","119.83","143.81","300.04","211.2","124.17"
"201512","444.59","","157.1","154.9","160.88","316.57","201.73","131.01","","","120.67","","124.68","120.36","147.64","106.11","350.98","123.08","528.73","","130.67","","257.65","334.28","342.11","228.86","361.71","207.38","132.51","168.32","180.32","","178.27","308.97","975.33","161.53","292.77","698.96","258.96","539.3099999999999","452.43","145.03","110.62","208.65","323.28","153.43","132.98","127.02","119.94","151.29","297.43","205.78","125.01"
"201511","442.38","","158.1","152.84","155.05","317.37","205.9","131","","","113.36","","124.77","116.2","149.48","","350.9","123.75","526.5","","132.14","","257.67","331.32","356.8","228.44","362.73","207.29","142","167.09","179.58","","175.86","306.31","976.0599999999999","160.06","289.19","699.6799999999999","269.82","545.3099999999999","455.29","146.04","114.2","207.84","325.8","152.67","130.86","124.4","120.43","153.79","300.13","203.06","124.32"
"201510","441.76","","156.49","156.63","158.33","310.72","211.46","131.37","128.63","","115.46","","125.07","117.3","147.2","112.83","349.6","121.79","514.2","","129.43","","252.88","317.21","353.53","224.56","362.04","210.78","143.03","167.51","179.9","","175.57","304.96","959.5599999999999","159.38","294.67","706.25","282.09","546.83","449.52","148.7","118.56","209.73","324.25","151.15","127.42","124.68","122.69","151.56","302.28","210.55","124.91"
"201509","445.99","","153.96","157.22","155.47","317.02","210.4","131.14","","","120.36","171.95","125.26","118.39","144.62","110.23","349.21","117.53","513.2","","127.89","","260.96","305.84","345.26","217.77","362.36","208.96","138.87","168.21","179","","175.88","305.62","957.63","160.44","298.26","705.9299999999999","301.8","549.41","445.64","150.49","116.47","208.08","322.72","152.22","125.74","119.33","119.32","153.86","299.93","215.39","127.08"
