"Table 1: E-5 County/State Population and Housing Estimates, 1/1/2011",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,,,
COUNTY,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household,,
Alameda,"1,525,695","1,485,488","40,207","582,727","309,870","44,344","65,397","155,285","7,831","545,989",6.3%,2.72,,
Alpine,"1,169","1,145",24,"1,757","1,037",12,45,631,32,496,71.8%,2.31,,
Amador,"38,011","33,878","4,133","18,054","14,775",558,612,690,"1,419","14,570",19.3%,2.33,,
Butte,"220,828","215,991","4,837","96,116","60,156","3,067","8,833","9,946","14,114","87,816",8.6%,2.46,,
Calaveras,"45,557","45,074",483,"28,018","24,432",365,670,392,"2,159","18,942",32.4%,2.38,,
Colusa,"21,521","21,297",224,"7,897","5,860",115,739,418,765,"7,069",10.5%,3.01,,
Contra Costa,"1,059,495","1,048,894","10,601","401,389","267,350","31,625","28,570","66,575","7,269","376,833",6.1%,2.78,,
Del Norte,"28,235","24,553","3,682","11,212","6,808",273,805,803,"2,523","9,918",11.5%,2.48,,
El Dorado,"181,170","179,555","1,615","88,272","72,418","1,322","4,864","5,585","4,083","70,225",20.4%,2.56,,
Fresno,"938,524","921,761","16,763","317,057","213,131","7,432","33,163","48,589","14,742","290,926",8.2%,3.17,,
Glenn,"28,238","27,920",318,"10,868","7,742",208,817,718,"1,383","9,882",9.1%,2.83,,
Humboldt,"135,711","130,163","5,548","61,689","41,977","2,050","6,121","5,417","6,124","56,105",9.1%,2.32,,
Imperial,"176,370","166,302","10,068","56,124","34,611","1,911","4,771","7,173","7,658","49,160",12.4%,3.38,,
Inyo,"18,536","18,081",455,"9,486","5,621",211,596,479,"2,579","8,053",15.1%,2.25,,
Kern,"845,978","809,964","36,014","285,714","202,990","7,325","28,750","23,911","22,738","255,999",10.4%,3.16,,
Kings,"151,322","131,333","19,989","44,093","31,914","2,218","3,806","4,198","1,957","41,413",6.1%,3.17,,
Lake,"64,491","63,416","1,075","35,588","24,272",630,"1,167","1,559","7,960","26,666",25.1%,2.38,,
Lassen,"34,485","24,684","9,801","12,712","9,045",296,306,741,"2,324","10,041",21.0%,2.46,,
Los Angeles,"9,874,887","9,700,971","173,916","3,448,179","1,718,104","228,824","282,689","1,160,304","58,258","3,244,604",5.9%,2.99,,
Madera,"151,256","142,895","8,361","49,244","39,258",659,"3,371","2,550","3,406","43,421",11.8%,3.29,,
Marin,"253,964","244,599","9,365","111,323","68,286","11,211","8,211","21,643","1,972","103,247",7.3%,2.37,,
Mariposa,"18,251","17,526",725,"10,245","6,963",120,517,309,"2,336","7,734",24.5%,2.27,,
Mendocino,"87,436","85,502","1,934","40,413","28,267","1,369","2,499","2,759","5,519","34,965",13.5%,2.45,,
Merced,"258,852","253,491","5,361","83,856","61,070","2,471","7,460","7,361","5,494","75,935",9.4%,3.34,,
Modoc,"9,696","9,318",378,"5,202","3,914",92,119,161,916,"4,069",21.8%,2.29,,
Mono,"14,219","13,886",333,"13,928","5,236",405,"2,682","4,547","1,058","5,780",58.5%,2.40,,
Monterey,"417,894","396,141","21,753","138,206","87,610","8,902","12,394","23,625","5,675","125,016",9.5%,3.17,,
Napa,"136,913","131,920","4,993","54,882","37,594","2,827","4,094","6,583","3,784","49,019",10.7%,2.69,,
Nevada,"98,409","97,234","1,175","52,677","43,623",809,"2,222","2,896","3,127","41,509",21.2%,2.34,,
Orange,"3,035,167","2,987,345","47,822","1,050,192","534,266","127,445","91,558","263,392","33,525","994,205",5.3%,3.01,,
Placer,"353,228","349,497","3,731","153,730","119,120","4,111","8,364","17,880","4,255","133,619",13.1%,2.62,,
Plumas,"19,983","19,698",285,"15,605","12,047",393,329,667,"2,169","8,971",42.5%,2.20,,
Riverside,"2,212,874","2,177,742","35,132","804,913","546,219","50,884","38,538","90,429","78,843","689,997",14.3%,3.16,,
Sacramento,"1,429,653","1,405,950","23,703","556,973","358,180","34,763","44,881","104,359","14,790","515,154",7.5%,2.73,,
San Benito,"55,524","55,098",426,"17,892","13,860",737,"1,404","1,046",845,"16,835",5.9%,3.27,,
San Bernardino,"2,054,735","2,014,786","39,949","701,443","499,849","24,798","45,248","88,021","43,527","613,765",12.5%,3.28,,
San Diego,"3,120,688","3,018,788","101,900","1,166,858","605,022","104,291","84,620","327,128","45,797","1,089,523",6.6%,2.77,,
San Francisco,"815,854","790,285","25,569","377,188","65,783","59,617","80,687","170,499",602,"346,296",8.2%,2.28,,
San Joaquin,"691,818","677,690","14,128","234,343","169,721","12,281","14,880","28,885","8,576","215,786",7.9%,3.14,,
San Luis Obispo,"270,057","253,355","16,702","117,510","79,650","6,447","9,022","11,743","10,648","102,152",13.1%,2.48,,
San Mateo,"726,305","716,756","9,549","271,438","155,260","25,025","17,478","70,507","3,168","258,144",4.9%,2.78,,
Santa Barbara,"424,610","407,247","17,363","153,254","90,095","10,173","14,757","30,323","7,906","142,562",7.0%,2.86,,
Santa Clara,"1,803,362","1,773,767","29,595","633,143","345,035","61,677","48,828","158,559","19,044","605,375",4.4%,2.93,,
Santa Cruz,"264,761","252,457","12,304","104,566","66,075","9,381","9,561","12,628","6,921","94,535",9.6%,2.67,,
Shasta,"177,694","175,018","2,676","77,469","53,397","2,730","5,752","6,663","8,927","70,443",9.1%,2.49,,
Sierra,"3,234","3,194",40,"2,330","2,101",24,33,73,99,"1,481",36.4%,2.16,,
Siskiyou,"44,854","44,277",577,"23,953","16,638",571,"1,524","1,730","3,490","19,525",18.5%,2.27,,
Solano,"413,438","401,135","12,303","153,192","109,546","6,592","11,217","21,252","4,585","142,557",6.9%,2.81,,
Sonoma,"485,417","475,046","10,371","204,838","140,559","14,328","13,440","25,134","11,377","186,241",9.1%,2.55,,
Stanislaus,"517,748","511,409","6,339","179,649","134,030","7,485","12,382","17,195","8,557","165,404",7.9%,3.09,,
